你;nǐ;你好！;Nǐ hǎo!;ni3
好;hǎo;你好！;Nǐ hǎo!;hao3
吗;ma;你好吗？;Nǐ hǎo ma?;ma5
我;wǒ;我很好。;Wǒ hěn hǎo.;wo3
很;hěn;我很好。;Wǒ hěn hǎo.;hen3
呢;ne;我很好，你呢？;Wǒ hěn hǎo, nǐ ne?;ne5
也;yě;我也很好。;Wǒ yě hěn hǎo.;ye3
忙;máng;他很忙。;Wǒ hěn máng.;mang2
爸;bà;他是我的爸爸。;Tā shì wǒ de bàba.;ba4
妈;mā;她是我的妈妈。;Tā shì wǒ de māma.;ma1
他;tā;他是我的朋友。;Tā shì wǒ de péngyou.;ta1m
们;men;我们是中国人。;Wǒmen shì zhōngguó rén.;men5
都;dōu;他们都是学生。;Tāmen dōu shì xuéshēng.;dou1
不;bù;我不美国人。;Wǒ bù měiguó rén.;bu4
男;nán;这个男人是我的朋友。;Zhège nán rén shì wǒ de péngyou.;nan2
朋;péng;他是我的好朋友。;Tā shì wǒ de hǎo péngyou.;peng2
有;yǒu;我有一个哥哥。;Wǒ yǒu yīge gēge.;you3
她;tā;她是我的妈妈。;Tā shì wǒ de māma.;ta1f
是;shì;我是中国人。;Wǒ shì Zhōngguó rén.;shi4
哪;nǎ;他是哪国人？;Tā shì nǎ guó ren?;na3
国;guó;中国;Zhōngguó.;guo2
人;rén;他是中国人。;Tā shì zhōngguó rén.;ren2
那;nà;那是我的好朋友。;Nà shì wǒ de hǎo péngyou.;na4
谁;shuí, shéi;那是谁？;Nà shì shéi?;shei2
老;lǎo;她是我们的老师。;Tā shì wǒmen de lǎoshī.;lao3
师;shī;这是陈老师。;Zhè shì Chén lǎoshī.;shi1
中;zhōng;中国;Zhōngguó.;zhong1
您;nín;您好？;Nín hǎo?;nin2
这;zhè;这是我的朋友。;Zhè shì wǒ de péngyou.;zhe4
外;wài;他是我的外公。;Tā shì wǒ de wàipó.;wai4
语;yǔ;我学习汉语。;Wǒ xuéxí Hànyǔ.;yu3
医;yī;我是医生。;Wǒ shì yīshēng.;yi1
生;shēng;他们是学生。;Tāmen shì xuéshēng.;sheng1
奶;nǎi;奶奶很漂亮。;Nǎinǎi hén piàoliang.;nai3
婆;pó;外婆也很漂亮。;Wàipó yě hén piàoliang.;po2
认;rèn;认识你很高兴。;Rènshi nǐ hén gāoxìng.;ren4
识;shí;认识你很高兴。;Rènshi nǐ hén gāoxìng.;shi2
高;gāo;我很高兴。;Wǒ hén gāoxìng.;gao1
兴;xìng;我很高兴。;Wǒ hén gāoxìng.;xing4
可;kě;可以进来吗？;Kěyǐ jìnlái ma?;ke3
以;yǐ;可以进来吗？;Kěyǐ jìnlái ma?;yi3
进;jìn;可以进来吗？;Kěyǐ jìnlái ma?;jin4
来;lái;可以进来吗？;Kěyǐ jìnlái ma?;lai2
请;qǐng;请进！;Qǐng jìn!;qing3
记;jì;记者;jìzhě;ji4
者;zhě;记者;jìzhě;zhe3
问;wèn;请问，您贵姓？;Qǐng wèn, nín guìxìng?;wen4
贵;guì;请问，您贵姓？;Qǐng wèn, nín guìxìng?;gui4
姓;xìng;请问，您贵姓？;Qǐng wèn, nín guìxìng?;xing4bis
叫;jiào;我叫陆雨平。;Wǒ jiào Lù Yǔpíng.;jiao4
先;xiān;先生;xiānshēng;xian1
言;yán;语言;yǔyán;yan2
学;xué;我是学生。;Wǒ shì xuéshēng.;xue2
院;yuàn;学院;xuéyuàn;yuan4
的;de;我的妈妈好很漂亮。;Wǒ de māma hěn piàoliang.;de5
什;shén;这是什么？;Zhè shì shénme?;shen2
么;me;这是什么？;Zhè shì shénme?;me5
习;xí;我学习汉语。;Wǒ xuéxí Hànyǔ.;xi2
汉;hàn;我学习汉语。;Wǒ xuéxí Hànyǔ.;han4
英;yīng;我是英国人。;Wǒ shì Yīngguó rén.;ying1
美;měi;他是美国人。;Wǒ shì Měiguó rén.;mei3
餐;cān;餐厅在哪儿？;Cāntīng zài nǎr?;can1
听;tīng;餐厅在哪儿？;Cāntīng zài nǎr?;ting1
在;zài;他在吗？;Tā zài ma?;zai4
儿;ér;他是我的儿子。;Tā shì wǒ de ér zi.;er2
女;nǚ;她是我的女儿。;Tā shì wǒ de nǚ ér.;nv3
坐;zuò;请坐！;Qǐng zuò!;zuo4
谢;xiè;谢谢！;Xièxie!;xie4
对;duì;对不起！;Duìbuqǐ.;dui4
起;qǐ;对不起！;Duìbuqǐ.;qi3
知;zhī;我不知道。;Wǒ bù zhīdāo.;zhi1
道;dāo;我不知道。;Wǒ bù zhīdāo.;dao1
没;méi;没关系。;Méi guānxi.;mei2
关;guān;没关系。;Méi guānxi.;guan1
系;xi;没关系。;Méi guānxi.;xi5
再;zài;再见;Zàijiān;zai4bis
见;jiàn;再见;Zàijiān;jian4
小;xiǎo;小姐;Xiǎojiě.;jiao3
姐;jiě;小姐;Xiǎojiě.;jie3
层;céng;餐厅在二层。;Cāntīng zài èr céng.;ceng2
号;hào;餐厅在二层二〇四号。;Cāntīng zài èr céng èr líng sì hào.;hao4
用;yòng;不用谢。;Búyòng xiè.;yong4
晚;wǎn;我来晚了。;Wǒ lái wǎn le.;wan3
了;le;我来晚了。;Wǒ lái wǎn le.;le5